opaque_leaf_id_sha256,row_count,key_root_sha256,type_root_sha256,key_value_root_sha256
acc1d7740438167d346307f7cb81f09cd179f8ce72c894540806d8b6fa26f76e,1,f6cea01d7cc9509e2b47252133b3a6e1b13c07117628aaab878c6313af752896,b263e08a1ff25fb2edfd7362bc7189e4f55a2c0940df7046132704363548e109,4f223048d1677577978660d0a76130db7d7c24f0b9f9122ce76d6f8aaa3a5bd1
ba57f0584a80beb2a5f51c89507a85727aa9db3b161dcc9c8e716f5fd2e55dec,1,69b033c8612e6d5553f64d2558a2e4e2a24fb57663c6441fe54c1e8b6aa8f680,996688a7be46c0d0bc0842d2c806e7b5ce8a8230844c1267e3c74708af43b1f8,b5bf696336f735f3dc7dda54bb112f744a7d5cec2d13fb2a709d24f3cea471cb
c246d777c1c6faee3ba2ab6d04337da762ce7c2907970a455f163a10d5319f51,1,ed18ed6c77d6dc0b0244e1a6f9b24d2e5eb3166add73c37a14288781424f0e28,73dda320f7c01574daea9ab507265c79294b199abc29caaaf509c1fe25bdabb0,a7dd82d60ec362eeb419ca6def54630585c0d14c0d5d73b04debbf46eba491a4
c5a76d0776942f7ba1c783ca46c65cb73330af11cd4d0b37877a32689429cfce,1,89b53cc5a59073eeff2f7516323f4b334ad111f9ed23d979460548c43d3d3232,11370e2301a99c5b7a13f2522cf6df4f47eebc8357213819352ebb695b4549eb,cd0252f67e323b6ebd3f60862c32d974b3902d9d4cf0eb22244003cadd94fe3e
d3fdcbf9962795b933206687b9fade8686edb02c744dc302db8d5b1136312353,1,69ede1f6a04a231fe91a80c27495c9e281b125dc060644893439b4217c079b7a,0703f69d4518d17e207d6562ea23f27312a55645412799182c634a6b0325fe62,f51862475cc6e86330f99a99cd86c12ffc7a94e36f84c1e845a95e8c41af1426
d4990a1552412bde9c6ba552c955672fa16b2c73289b8f70bde84228afc662cf,1,32ce8b1800643a18881e790244f1ecc4deedb8a754a410555ec9bb18b89fd0d1,ad9162d5378dce4746263bf2cdd63b63db104cd469c8ea5f7e9fb729f3367d0f,d71f97048e8dc4f576f95a37fd82c17df584cbb8b36c3fe0aa77999c3a7fc4eb
d4bc6f267eb6341f0b83d952a68c31152f055c8fc077c5a8bb3e13ebb074372b,1,1598db8098a62663dea4577fff010d8f46f8a601895a33c6103d0479e82cb287,a86fe9eb38da904189a03ea40008b1e4f148153038c84106fc101200f8687932,c70c3633c0e2aa3e82c756afa4c6286a95e92a9702ca24f6d147cb81c0b9029f
dde949fb34966f8a484c87d6b95e11f89d9e32530a2aa8dd8b08dd57177959c2,1,0cf77bdd070e5d92705aa0e74352c633efc5a2762a86717a90c91b2651560d3f,54649e687c0a65f6db961cd4f0505474ce8afd1cde3748527ffd1a7ea042eb81,e4403d8272af4a71fd84589d5ba8c52f34534f1e6b0b2b05b19e39e95681469d
e0bbf5931c207796f24accecd48e8d81b77958b4b4161ad223dfd4b34e5cee23,1,ff56101d44141336d2dc93b45b705cb45babedb8d157c80782a83ed7937fdd7a,4317901847932cf149fc5f5c740381d09f889fcef66a7022d2f31a83752a39ee,b46251448b3e058c42c184032ef54959580ac461119e6e2f0972ef8a6d8cc054
e82abaacf1e9fad56898fbb9d288fe2012aae4811b5477d68bd9c996e823fab0,1,c7a2066599fa5fae08aefb272f451057a227930304de910810afc1eaa4261358,8bbf1f9bbe815d5b8417026caef12944579b5ae1695311fccb3b06f58f3960a8,deaffc316ae26acde079674879c5228004eeb0979397aa8afa1102857b9e1874
eeafb6f57ffcad38c944d9a4ad86c24ce52914a27686c910c7fdb8f1518654cc,1,89231bff027a1dcfcd1e78278e29db04de65f5aed277cc5ee739da18deff8cc2,81e304e5225a5e3cb2b40d0ecce9f91bc785c12dd7e99d147e95a458f6f91737,d13fb785a53ea45d15435c0f5c71786aaded0eaf3dc214c6340c0441f6ac135b
efbfd3dcdb8dc879608d6a094423be28fe079ec40afaecbd3bd912dbe2ccdb79,1,5f721314a8df8a1ae130c2b5d88c9e551c1c3d7ee730e2fe8c209eab495f1ba9,75075b677d0835c0add85a0869f1ac62103bb40ff9213ee2a7dc0b2e852cceca,0c78ed5bf6ba3bae98511cc1e4a69d72626b68a50d7ea56d161ada8174c1aa47
fc88c605812caa09699523b9675e90f5b4225d4dd8044e4614f7dd154c836815,1,045f91a0dfb69231c5fafbdcc7269a5db00f5fc81cbf8f061a1d524bd6a7d30c,4ba2c9553eee1c19ddc3a97d4db2360ba190f65477a4dc15301810f8f757f67a,0cbc01559447ab6fe62129c4c492a2b9957834043a45d191ec64e05e562724dc
