data_type_id,slug,table,model,table_exists,model_exists,controller,controller_exists,server_side,data_rows,table_rows,relationship_rows,translation_rows,translation_locales,permission_keys,permission_role_assignments,migration_class
106,all-styles-page,all_styles_page,"App\Models\AllStylesPage",1,1,,,0,11,13,0,232,de|ee|lt|lv|pl|ru,add_all_styles_page|browse_all_styles_page|delete_all_styles_page|edit_all_styles_page|read_all_styles_page,18,localized_resource
107,all-styles,all_styles,"App\Models\AllStyle",1,1,,,0,19,2,0,192,de|ee|lt|lv|pl|ru,add_all_styles|browse_all_styles|delete_all_styles|edit_all_styles|read_all_styles,18,localized_resource
108,header-menu,header_menu,"App\Models\HeaderMenu",1,1,,,1,10,19,0,227,de|ee|lt|lv|pl|ru,add_header_menu|browse_header_menu|delete_header_menu|edit_header_menu|read_header_menu,18,localized_resource
109,footer-menu,footer_menu,"App\Models\FooterMenu",1,1,,,1,8,32,0,373,de|ee|lt|lv|pl|ru,add_footer_menu|browse_footer_menu|delete_footer_menu|edit_footer_menu|read_footer_menu,18,localized_resource
110,all-style-form,all_style_form,"App\Models\AllStyleForm",1,1,,,0,41,1,0,216,de|ee|lt|lv|pl|ru,add_all_style_form|browse_all_style_form|delete_all_style_form|edit_all_style_form|read_all_style_form,18,localized_resource
111,all-style-form-step-items,all_style_form_step_items,"App\Models\AllStyleFormStepItem",1,1,,,0,7,43,0,289,de|ee|lt|lv|pl|ru,add_all_style_form_step_items|browse_all_style_form_step_items|delete_all_style_form_step_items|edit_all_style_form_step_items|read_all_style_form_step_items,18,localized_resource
112,newhome-top-slider,newhome_top_slider,"App\Models\NewhomeTopSlider",1,1,,,0,20,14,0,0,,add_newhome_top_slider|browse_newhome_top_slider|delete_newhome_top_slider|edit_newhome_top_slider|read_newhome_top_slider,18,standard_resource_review
113,newhome-services,newhome_services,"App\Models\NewhomeService",1,1,,,0,10,11,0,264,de|ee|lt|lv|pl|ru,add_newhome_services|browse_newhome_services|delete_newhome_services|edit_newhome_services|read_newhome_services,18,localized_resource
114,newhome-work-ex,newhome_work_ex,"App\Models\NewhomeWorkEx",1,1,,,0,8,18,0,216,de|ee|lt|lv|pl|ru,add_newhome_work_ex|browse_newhome_work_ex|delete_newhome_work_ex|edit_newhome_work_ex|read_newhome_work_ex,18,localized_resource
115,newhome-top-work-ex,newhome_top_work_ex,"App\Models\NewhomeTopWorkEx",1,1,,,0,7,15,0,180,de|ee|lt|lv|pl|ru,add_newhome_top_work_ex|browse_newhome_top_work_ex|delete_newhome_top_work_ex|edit_newhome_top_work_ex|read_newhome_top_work_ex,18,localized_resource
