opaque_key_id_sha256,row_count_match,null_values_match,identity_root_match,key_value_root_match,full_root_match,production_identity_root_sha256,local_identity_root_sha256,production_key_value_root_sha256,local_key_value_root_sha256,production_full_root_sha256,local_full_root_sha256
d6e46bf818b6f3da0120790b76066e955a384a6056808d9141bacac526286a5d,yes,yes,yes,yes,yes,22e61cbaddafe58edba7ab0b8ef87b287e026fd4197bc6df6e84eca8971fbcf9,22e61cbaddafe58edba7ab0b8ef87b287e026fd4197bc6df6e84eca8971fbcf9,010f804cf29ea1d8034bc5eac52f2897e740f803055ba69cc6c109e8993e0e3c,010f804cf29ea1d8034bc5eac52f2897e740f803055ba69cc6c109e8993e0e3c,3d35115ba4056818d0a6219370e395099f892575f1ee2679e10859b9d1ba8dff,3d35115ba4056818d0a6219370e395099f892575f1ee2679e10859b9d1ba8dff
5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,yes,no,no,4cdbd586226fab7059a64635f2a19bbd93769ec6c0833b9c0f80b34bc25a9de5,4cdbd586226fab7059a64635f2a19bbd93769ec6c0833b9c0f80b34bc25a9de5,c815b0a82b848a451dd02c533cb53f1434eda5652a04ec0612121b4b88d2cf46,df3ed68899a18004d8fa76be56770ecd217bfb405e9620f9f6a94f440b6b8229,88e7cab30ab8c0cf096ccfebdf007f6e4821515a837e0adf8d84b382dd37d4fd,e0ed0ba6aa1f200ce972dc890da3ac5900c38ced9c8edb4db92efb0ce79bdfd4
b8523fbfe3e0becd7d0c71d6a642741d5dcc2db02111348b981d38eddcbb7eaa,yes,yes,yes,yes,yes,34fd1101ba69c19c8466bae177a232388977d7da346e781a3c044f33b0a91fac,34fd1101ba69c19c8466bae177a232388977d7da346e781a3c044f33b0a91fac,79219722734d283c86bf8badda3e7c6822df8aeec215b1a46e91ee22e3225f88,79219722734d283c86bf8badda3e7c6822df8aeec215b1a46e91ee22e3225f88,87603bc901fb2c29c7e584a92f23fdfa8dcca0aad260ce35e8b8848d30234933,87603bc901fb2c29c7e584a92f23fdfa8dcca0aad260ce35e8b8848d30234933
a1833cb14b7f97f89c091ffb4aeee3e41d6ce5db78b7aa47ee0b3d0684f2aa4b,yes,yes,yes,yes,yes,075b2008bba1cc974c40abe18fb7f85ab9aad4f904310be69b0546964c325e94,075b2008bba1cc974c40abe18fb7f85ab9aad4f904310be69b0546964c325e94,8ee52bafaaa4d89c24aee326d474eed34fa366d33f4d2207d6f65c3313210579,8ee52bafaaa4d89c24aee326d474eed34fa366d33f4d2207d6f65c3313210579,22370e7162f38968f5c065b3dc88cfe3a192e0710147233f62e8191786b5c240,22370e7162f38968f5c065b3dc88cfe3a192e0710147233f62e8191786b5c240
58cdc95d71639fce13c242e41543b482003cfd8fc565c61ee51be9b29c002b01,yes,yes,yes,yes,yes,4be438ad1ea50e650e54b3a35a54cfe96f95aedb4054927e12954c9b7d987069,4be438ad1ea50e650e54b3a35a54cfe96f95aedb4054927e12954c9b7d987069,dc6f9bc26e195bdb5aeb66ef11b58cdc3ce432fdba6af574da2df52775194acd,dc6f9bc26e195bdb5aeb66ef11b58cdc3ce432fdba6af574da2df52775194acd,7c61f66ee5155e81626cb181551517e887fba69ed5cf250e999871902e437d0e,7c61f66ee5155e81626cb181551517e887fba69ed5cf250e999871902e437d0e
591f9844057d5d75e124508857f8a74aa99b79ac1a8230cf95c7a7c2ab179685,yes,yes,yes,yes,yes,eb2bc72375a674f697b22b4458f7e9eb7a665dd097326cb275e13914c6106ce6,eb2bc72375a674f697b22b4458f7e9eb7a665dd097326cb275e13914c6106ce6,fbb267938ce22ed5b0083b9635c4c232f79c2dd507edb61fc3f9b42772e7ee92,fbb267938ce22ed5b0083b9635c4c232f79c2dd507edb61fc3f9b42772e7ee92,51912c88762720a63653c804592bbe07fa6b7448222ebcf26d7815d52aee7bf7,51912c88762720a63653c804592bbe07fa6b7448222ebcf26d7815d52aee7bf7
1f86cacdeb7e666b1a6b382c8d2416225ec4754fd6c57002d643abd36d8e5940,yes,yes,yes,yes,yes,9a9c511fd987864c17b28228211b41d1469a1db92cd36d52494337ade98d3ac6,9a9c511fd987864c17b28228211b41d1469a1db92cd36d52494337ade98d3ac6,78d96aa10331865b058dfa0d55f259e9f8658ca7046dde351c8f6c2fce8cc021,78d96aa10331865b058dfa0d55f259e9f8658ca7046dde351c8f6c2fce8cc021,055f9bca1e2ce482231800f8a17dd569ade79540c9838f92de204f7ee6b5c5b5,055f9bca1e2ce482231800f8a17dd569ade79540c9838f92de204f7ee6b5c5b5
f8d810017bbb9ac4e850d38540e295392f41bac9ff624e81acdf7a1f2cb80acc,yes,yes,yes,yes,yes,e71492e2bba2c1bd8042a43f307c94c2753b04ffc4c361395a41d0051af62fbc,e71492e2bba2c1bd8042a43f307c94c2753b04ffc4c361395a41d0051af62fbc,00c0770fe8d58562f55c7e01c472b7ece6313e8745b83914135690d067987f53,00c0770fe8d58562f55c7e01c472b7ece6313e8745b83914135690d067987f53,e2eddbdf3b57264da4fa2c0b3f4a28cd84f34de8f1014ba35e65f558ea687ff5,e2eddbdf3b57264da4fa2c0b3f4a28cd84f34de8f1014ba35e65f558ea687ff5
d11e336323a9091d2f439263d5c057fe39ebe092ee12f3e9e96d4f4f5424a677,yes,yes,yes,yes,yes,e40d2fc61dc82710780455ed5fa2086c8ad1d9b13c72ee6e4ca9d860d82aad2b,e40d2fc61dc82710780455ed5fa2086c8ad1d9b13c72ee6e4ca9d860d82aad2b,9d8b61e0faf7b9f51402fbabd6a829e9a9d2dc60c58531a4f35afd183fb85e07,9d8b61e0faf7b9f51402fbabd6a829e9a9d2dc60c58531a4f35afd183fb85e07,b4b60ce60d7d1c4b28b1e88787557e261cc8e1c6420208e7f977f6d5d38f2d32,b4b60ce60d7d1c4b28b1e88787557e261cc8e1c6420208e7f977f6d5d38f2d32
22272af148070889a24cb7dc7679fe619214ddb34f0afbabab8a1d16220ca141,yes,yes,yes,yes,yes,98314cf9ec1298f0979197f6d92ed2dd0f6df76e6da1300c7937071999f5cca6,98314cf9ec1298f0979197f6d92ed2dd0f6df76e6da1300c7937071999f5cca6,3b2a7838145d67442188fb8297c7d133ec67c962e169fe0d926540ff58afcdb5,3b2a7838145d67442188fb8297c7d133ec67c962e169fe0d926540ff58afcdb5,520d36c8341397fa553bf9c471c594aeead27a26503e2e12f1a0c6d1296aaf1e,520d36c8341397fa553bf9c471c594aeead27a26503e2e12f1a0c6d1296aaf1e
