"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"DELETE","admin/our-works/{id}","voyager.our-works.destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","480"
"GET","admin/blog-posts/order","voyager.blog-posts.order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","791"
"POST","admin/blog-posts/action","voyager.blog-posts.action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","858"
"POST","admin/blog-posts/order","voyager.blog-posts.update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","834"
"GET","admin/blog-posts/{id}/restore","voyager.blog-posts.restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","527"
"GET","admin/blog-posts/relation","voyager.blog-posts.relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","875"
"POST","admin/blog-posts/remove","voyager.blog-posts.media.remove","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","570"
"GET","admin/blog-posts","voyager.blog-posts.index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","35"
"GET","admin/blog-posts/create","voyager.blog-posts.create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","395"
"POST","admin/blog-posts","voyager.blog-posts.store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","437"
"GET","admin/blog-posts/{id}","voyager.blog-posts.show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","217"
"GET","admin/blog-posts/{id}/edit","voyager.blog-posts.edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","281"
"PUT|PATCH","admin/blog-posts/{id}","voyager.blog-posts.update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","330"
"DELETE","admin/blog-posts/{id}","voyager.blog-posts.destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","480"
"GET","admin/blog/order","voyager.blog.order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","791"
"POST","admin/blog/action","voyager.blog.action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","858"
"POST","admin/blog/order","voyager.blog.update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","834"
"GET","admin/blog/{id}/restore","voyager.blog.restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","527"
"GET","admin/blog/relation","voyager.blog.relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","875"
"POST","admin/blog/remove","voyager.blog.media.remove","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","570"
"GET","admin/blog","voyager.blog.index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","35"
"GET","admin/blog/create","voyager.blog.create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","395"
"POST","admin/blog","voyager.blog.store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","437"
"GET","admin/blog/{id}","voyager.blog.show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","217"
"GET","admin/blog/{id}/edit","voyager.blog.edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","281"
"PUT|PATCH","admin/blog/{id}","voyager.blog.update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","330"
"DELETE","admin/blog/{id}","voyager.blog.destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","480"
"GET","admin/collage-header/order","voyager.collage-header.order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","791"
"POST","admin/collage-header/action","voyager.collage-header.action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","858"
"POST","admin/collage-header/order","voyager.collage-header.update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","834"
"GET","admin/collage-header/{id}/restore","voyager.collage-header.restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","527"
"GET","admin/collage-header/relation","voyager.collage-header.relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","875"
"POST","admin/collage-header/remove","voyager.collage-header.media.remove","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","570"
"GET","admin/collage-header","voyager.collage-header.index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","35"
"GET","admin/collage-header/create","voyager.collage-header.create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","395"
"POST","admin/collage-header","voyager.collage-header.store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","437"
"GET","admin/collage-header/{id}","voyager.collage-header.show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","217"
"GET","admin/collage-header/{id}/edit","voyager.collage-header.edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","281"
"PUT|PATCH","admin/collage-header/{id}","voyager.collage-header.update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","330"
"DELETE","admin/collage-header/{id}","voyager.collage-header.destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","480"
"GET","admin/modular-pics-head/order","voyager.modular-pics-head.order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","791"
"POST","admin/modular-pics-head/action","voyager.modular-pics-head.action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","858"
"POST","admin/modular-pics-head/order","voyager.modular-pics-head.update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","834"
"GET","admin/modular-pics-head/{id}/restore","voyager.modular-pics-head.restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","527"
