"file","class","kind","method","visibility","static","start_line","end_line","loc","params","complexity_signal","risk_signal","doc_summary","db_read","db_write","transaction","mail","queue","storage","http_external","auth_session","translation","voyager","order_domain","payment","crm_sa","venipak","logging","env_direct","raw_sql"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","resolveMediaItem","private","0","1288","1331","44","4","10","4","@param \Illuminate\Database\Eloquent\Model $entity @param string|null $collection @param int|null $mediaId @param string $imagePath @return mixed|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","mediaCustomProperty","private","0","1338","1355","18","2","4","0","@param mixed $media @param string $key @return string|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","shouldUseVirtualLocaleApply","private","0","1370","1393","24","8","4","0","Keep SiteImage locale-specific values in image_alt_suggestions unless real locale columns exist. @param \Illuminate\Database\Eloquent\Model $entity @param mixed $schema @param string $table @param string|null $altColumn @param string|null $","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","localizedColumnExists","private","0","1402","1409","8","4","2","0","@param mixed $schema @param string $table @param string|null $column @param string $locale @return bool /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","applyMap","private","0","1416","1444","29","2","4","0","@param \Illuminate\Database\Eloquent\Model $entity @param string $field @return array{alt: string|null, title: string|null} /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","targetForEntity","private","0","1450","1466","17","1","4","0","@param \Illuminate\Database\Eloquent\Model $entity @return array<string, mixed> /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","isConfiguredHtmlField","private","0","1473","1481","9","2","1","0","@param \Illuminate\Database\Eloquent\Model $entity @param string $field @return bool /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","skipAndFail","private","0","1490","1501","12","4","2","2","@param \App\Models\ImageAltSuggestion $suggestion @param string $reason @param bool $dryRun @param string $error @return bool /","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","logSkip","private","0","1508","1521","14","2","1","0","@param \App\Models\ImageAltSuggestion $suggestion @param string $reason @return void /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","stripEncodingProcessingInstruction","private","0","1527","1530","4","1","1","0","@param string $html @return string /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","normalizeImagePath","private","0","1536","1549","14","1","2","0","@param string $path @return string /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","__construct","public","0","60","72","13","4","1","0","@param \App\Services\AltGeneration\PageContextResolver $contextResolver @param \App\Services\AltGeneration\LocaleResolver $localeResolver @param \App\Services\AltGeneration\SkippedAltGenerationLogger $skippedLogger @param \Illuminate\Contra","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","handle","public","0","77","140","64","0","8","4","@return int /","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","backfillSuggestion","private","0","147","221","75","2","5","4","@param \App\Models\ImageAltSuggestion $suggestion @param bool $dryRun @return bool /","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltBackfillUrlsCommand.php","App\Console\Commands\AltBackfillUrlsCommand","class","pageUrlFromContext","private","0","227","232","6","1","1","0","@param array<string, mixed> $context @return string|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
