"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"GET","new/caricature/{pageslug}","sub_caricature","App\Http\Controllers\Pages\SharjController@index","App\Http\Controllers\Pages\SharjController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/SharjController.php","46"
"GET","sizesprices","sizesprices","App\Http\Controllers\Pages\SizespricesController@index","App\Http\Controllers\Pages\SizespricesController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/SizespricesController.php","25"
"GET","review","review","App\Http\Controllers\Pages\ReviewController@index","App\Http\Controllers\Pages\ReviewController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/ReviewController.php","28"
"POST","review","review.store","App\Http\Controllers\Pages\ReviewController@store","App\Http\Controllers\Pages\ReviewController@store","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/ReviewController.php","122"
"GET","modular-generator","modular-generator","App\Http\Controllers\Pages\ModulegeneratorController@index","App\Http\Controllers\Pages\ModulegeneratorController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/ModulegeneratorController.php","29"
"GET","paysera","paysera","App\Http\Controllers\Libwebtopay\PayseraController@index","App\Http\Controllers\Libwebtopay\PayseraController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Libwebtopay/PayseraController.php","28"
"GET","pay_accept","pay_accept","App\Http\Controllers\Libwebtopay\PayseraController@pay_accept","App\Http\Controllers\Libwebtopay\PayseraController@pay_accept","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Libwebtopay/PayseraController.php","92"
"GET","pay_cancel","pay_cancel","App\Http\Controllers\Libwebtopay\PayseraController@pay_cancel","App\Http\Controllers\Libwebtopay\PayseraController@pay_cancel","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Libwebtopay/PayseraController.php","149"
"GET","pay_callback","pay_callback","App\Http\Controllers\Libwebtopay\PayseraController@pay_callback","App\Http\Controllers\Libwebtopay\PayseraController@pay_callback","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Libwebtopay/PayseraController.php","210"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","paypal/pay_accept","paypal.onetime.pay_accept","App\Http\Controllers\Payment\PayPal\OneTimePayPalController@pay_accept","App\Http\Controllers\Payment\PayPal\OneTimePayPalController@pay_accept","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/PayPal/OneTimePayPalController.php","14"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","paypal/pay_cancel","paypal.onetime.pay_cancel","App\Http\Controllers\Payment\PayPal\OneTimePayPalController@pay_cancel","App\Http\Controllers\Payment\PayPal\OneTimePayPalController@pay_cancel","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/PayPal/OneTimePayPalController.php","29"
"GET","payment-request/{token}","payment_request.show","App\Http\Controllers\Payment\OrderPaymentRequestController@show","App\Http\Controllers\Payment\OrderPaymentRequestController@show","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","28"
"POST","payment-request/{token}","payment_request.start","App\Http\Controllers\Payment\OrderPaymentRequestController@start","App\Http\Controllers\Payment\OrderPaymentRequestController@start","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","52"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","payment-request/paysera/accept","payment_request.paysera.accept","App\Http\Controllers\Payment\OrderPaymentRequestController@payseraAccept","App\Http\Controllers\Payment\OrderPaymentRequestController@payseraAccept","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","71"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","payment-request/paysera/cancel","payment_request.paysera.cancel","App\Http\Controllers\Payment\OrderPaymentRequestController@payseraCancel","App\Http\Controllers\Payment\OrderPaymentRequestController@payseraCancel","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","99"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","payment-request/paysera/callback","payment_request.paysera.callback","App\Http\Controllers\Payment\OrderPaymentRequestController@payseraCallback","App\Http\Controllers\Payment\OrderPaymentRequestController@payseraCallback","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","111"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","payment-request/paypal/pay_accept","payment_request.paypal.accept","App\Http\Controllers\Payment\OrderPaymentRequestController@paypalAccept","App\Http\Controllers\Payment\OrderPaymentRequestController@paypalAccept","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","135"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","payment-request/paypal/pay_cancel","payment_request.paypal.cancel","App\Http\Controllers\Payment\OrderPaymentRequestController@paypalCancel","App\Http\Controllers\Payment\OrderPaymentRequestController@paypalCancel","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Payment/OrderPaymentRequestController.php","148"
"GET","change_phones","change_phones","App\Http\Controllers\MyController@change_phones","App\Http\Controllers\MyController@change_phones","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MyController.php","19"
"GET","change_delivery_phones","change_delivery_phones","App\Http\Controllers\MyController@change_delivery_phones","App\Http\Controllers\MyController@change_delivery_phones","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MyController.php","33"
"POST","get_towns","get_towns","App\Http\Controllers\Admin\Api\VinepakApiController@get_towns","App\Http\Controllers\Admin\Api\VinepakApiController@get_towns","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Admin/Api/VinepakApiController.php","50"
"POST","get_towns_for_admin","get_towns_for_admin","App\Http\Controllers\Admin\Api\VinepakApiController@get_towns_for_admin","App\Http\Controllers\Admin\Api\VinepakApiController@get_towns_for_admin","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Admin/Api/VinepakApiController.php","143"
